BookID,Title,Author,Genre,TotalCopies,AvailableCopies,IssuedTo,IssueDate,DueDate
BK_086,The Name of the Rose,Umberto Eco,Mystery,3,1,STD_027,2025-04-10,2025-04-24
BK_087,Perfume,Patrick Suskind,Historical,4,3,STD_025,2025-03-10,2025-03-24
BK_088,The Little Prince,Antoine de Saint-Exupery,Fiction,2,1,STD_011,2025-03-15,2025-03-29
BK_089,Flowers for Algernon,Daniel Keyes,Sci-Fi,4,3,STD_005,2025-03-15,2025-03-29
BK_090,The Giver,Lois Lowry,Dystopian,3,3,NULL,NULL,NULL
BK_091,Number the Stars,Lois Lowry,Historical,4,3,STD_014,2025-03-10,2025-03-24
BK_092,Holes,Louis Sachar,Fiction,4,3,STD_005,2025-03-15,2025-03-29
BK_093,Charlotte's Web,E.B. White,Children,4,2,STD_023,2025-04-01,2025-04-15
BK_094,The Chronicles of Narnia,C.S. Lewis,Fantasy,3,1,STD_026,2025-03-10,2025-03-24
BK_095,A Wrinkle in Time,Madeleine L'Engle,Sci-Fi,2,0,STD_018,2025-04-01,2025-04-15
BK_096,Watership Down,Richard Adams,Adventure,4,3,STD_009,2025-04-10,2025-04-24
BK_097,Jonathan Livingston Seagull,Richard Bach,Philosophy,2,1,STD_002,2025-04-20,2025-05-04
BK_098,The Prophet,Kahlil Gibran,Philosophy,3,1,STD_027,2025-03-15,2025-03-29
BK_099,Think and Grow Rich,Napoleon Hill,Self-Help,2,1,STD_021,2025-03-10,2025-03-24
BK_100,How to Win Friends,Dale Carnegie,Self-Help,2,2,NULL,NULL,NULL
BK_101,Rich Dad Poor Dad,Robert Kiyosaki,Self-Help,4,3,STD_002,2025-03-10,2025-03-24
BK_102,Atomic Habits,James Clear,Self-Help,2,2,NULL,NULL,NULL
BK_103,Sapiens,Yuval Noah Harari,Non-Fiction,4,4,NULL,NULL,NULL
BK_104,Homo Deus,Yuval Noah Harari,Non-Fiction,3,2,STD_026,2025-03-10,2025-03-24
BK_105,A Brief History of Time,Stephen Hawking,Science,4,4,NULL,NULL,NULL
BK_106,The Selfish Gene,Richard Dawkins,Science,3,2,STD_029,2025-04-10,2025-04-24
BK_2000,SEALED NECTAR,PROFESSOR,HISTORY,3,3,NULL,NULL,NULL
